method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,quality,real_num_points,file_path,folder,rre,rte,num_aligned,plot_series,num_images_jitter
combined,100,42,0.0,100000,random,farthestpose,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,vggtpcd,Global Alignment,Shared Cam,,,,,sfm,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p100000_random_farthestpose_sharedcam/eval_results.json,bicycle_4_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p100000_random_farthestpose_sharedcam,0.1069,0.008457,100,combined | default | vggtpcd,100.0
colmap,25,42,,663,,farthestpose,25,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,Shared Cam,,,,,gsplat,12.47195816040039,0.7715879678726196,0.20755775272846222,736987,0.006009000353515148,1.5578001737594604,-0.21751512959841546,663,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n25_s42_default_farthestpose_sharedcam_i25_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n25_s42_default_farthestpose_sharedcam_i25_gteval_poseopt_steps15000,0.8791,0.011883,7,colmap | default | ,25.0
colmap,50,42,,3071,,farthestpose,50,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,Shared Cam,,,,,gsplat,15.93283748626709,0.5932520031929016,0.2600829303264618,1000000,0.002950000111013651,0.39239996671676636,-0.012624364769869204,3071,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s42_default_farthestpose_sharedcam_i50_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_default_farthestpose_sharedcam_i50_gteval_poseopt_steps15000,0.1891,0.008857,29,colmap | default | ,50.0
colmap,75,42,,6068,,farthestpose,75,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,Shared Cam,,,,,gsplat,17.05541229248047,0.4860948920249939,0.2761535942554474,1000000,0.0031049998942762613,0.21320000290870667,0.08370847156715522,6068,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n75_s42_default_farthestpose_sharedcam_i75_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n75_s42_default_farthestpose_sharedcam_i75_gteval_poseopt_steps15000,0.1012,0.00827,44,colmap | default | ,75.0
colmap,100,42,,16687,,farthestpose,100,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,Shared Cam,,,,,gsplat,22.471338272094727,0.35102325677871704,0.5768165588378906,1000000,0.0024700001813471317,0.09790000319480896,0.44320724481417806,16687,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000,0.1069,0.008457,100,colmap | default | ,100.0
combined,25,42,0.0,25000,random,farthestpose,,,,,,,,,,0.0,,vggt,,,,,relaxed,MCMC,colmapcams,bothpcd,Global Alignment,Shared Cam,,,,,sfm,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n25_s42_combined_colmapcams_bothpcd_amglobal_relaxed_c0.0_p25000_random_farthestpose_sharedcam/eval_results.json,bicycle_4_n25_s42_combined_colmapcams_bothpcd_amglobal_relaxed_c0.0_p25000_random_farthestpose_sharedcam,1.795,0.003818,3,combined | relaxed | bothpcd,25.0
combined,50,42,0.0,50000,random,farthestpose,,,,,,,,,,0.0,,vggt,,,,,relaxed,MCMC,colmapcams,bothpcd,Global Alignment,Shared Cam,,,,,sfm,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n50_s42_combined_colmapcams_bothpcd_amglobal_relaxed_c0.0_p50000_random_farthestpose_sharedcam/eval_results.json,bicycle_4_n50_s42_combined_colmapcams_bothpcd_amglobal_relaxed_c0.0_p50000_random_farthestpose_sharedcam,24.1505,1.641828,50,combined | relaxed | bothpcd,50.0
combined,75,42,0.0,75000,random,farthestpose,,,,,,,,,,0.0,,vggt,,,,,relaxed,MCMC,colmapcams,bothpcd,Global Alignment,Shared Cam,,,,,sfm,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n75_s42_combined_colmapcams_bothpcd_amglobal_relaxed_c0.0_p75000_random_farthestpose_sharedcam/eval_results.json,bicycle_4_n75_s42_combined_colmapcams_bothpcd_amglobal_relaxed_c0.0_p75000_random_farthestpose_sharedcam,2.5877,0.181462,75,combined | relaxed | bothpcd,75.0
combined,100,42,0.0,100000,random,farthestpose,,,,,,,,,,0.0,,vggt,,,,,relaxed,MCMC,colmapcams,bothpcd,Global Alignment,Shared Cam,,,,,sfm,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n100_s42_combined_colmapcams_bothpcd_amglobal_relaxed_c0.0_p100000_random_farthestpose_sharedcam/eval_results.json,bicycle_4_n100_s42_combined_colmapcams_bothpcd_amglobal_relaxed_c0.0_p100000_random_farthestpose_sharedcam,0.1144,0.009765,100,combined | relaxed | bothpcd,100.0
combined,25,42,,,,farthestpose,,,,,,,,,,0.0,,vggt,,,,,relaxed,MCMC,vggtcams,colmappcd,Global Alignment,Shared Cam,,,,,sfm,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n25_s42_combined_vggtcams_colmappcd_amglobal_relaxed_farthestpose_sharedcam/eval_results.json,bicycle_4_n25_s42_combined_vggtcams_colmappcd_amglobal_relaxed_farthestpose_sharedcam,1.6015,0.017838,3,combined | relaxed | colmappcd,25.0
combined,50,42,,,,farthestpose,,,,,,,,,,0.0,,vggt,,,,,relaxed,MCMC,vggtcams,colmappcd,Global Alignment,Shared Cam,,,,,sfm,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n50_s42_combined_vggtcams_colmappcd_amglobal_relaxed_farthestpose_sharedcam/eval_results.json,bicycle_4_n50_s42_combined_vggtcams_colmappcd_amglobal_relaxed_farthestpose_sharedcam,0.9198,0.086453,50,combined | relaxed | colmappcd,50.0
combined,75,42,,,,farthestpose,,,,,,,,,,0.0,,vggt,,,,,relaxed,MCMC,vggtcams,colmappcd,Global Alignment,Shared Cam,,,,,sfm,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n75_s42_combined_vggtcams_colmappcd_amglobal_relaxed_farthestpose_sharedcam/eval_results.json,bicycle_4_n75_s42_combined_vggtcams_colmappcd_amglobal_relaxed_farthestpose_sharedcam,0.8919,0.075478,75,combined | relaxed | colmappcd,75.0
combined,100,42,,,,farthestpose,,,,,,,,,,0.0,,vggt,,,,,relaxed,MCMC,vggtcams,colmappcd,Global Alignment,Shared Cam,,,,,sfm,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n100_s42_combined_vggtcams_colmappcd_amglobal_relaxed_farthestpose_sharedcam/eval_results.json,bicycle_4_n100_s42_combined_vggtcams_colmappcd_amglobal_relaxed_farthestpose_sharedcam,0.857,0.067143,100,combined | relaxed | colmappcd,100.0
combined,25,42,0.0,25000,random,farthestpose,,,,,,,,,,0.0,,vggt,,,,,relaxed,MCMC,colmapcams,vggtpcd,Global Alignment,Shared Cam,,,,,sfm,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n25_s42_combined_colmapcams_vggtpcd_amglobal_relaxed_c0.0_p25000_random_farthestpose_sharedcam/eval_results.json,bicycle_4_n25_s42_combined_colmapcams_vggtpcd_amglobal_relaxed_c0.0_p25000_random_farthestpose_sharedcam,1.795,0.003818,3,combined | relaxed | vggtpcd,25.0
combined,50,42,0.0,50000,random,farthestpose,,,,,,,,,,0.0,,vggt,,,,,relaxed,MCMC,colmapcams,vggtpcd,Global Alignment,Shared Cam,,,,,sfm,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n50_s42_combined_colmapcams_vggtpcd_amglobal_relaxed_c0.0_p50000_random_farthestpose_sharedcam/eval_results.json,bicycle_4_n50_s42_combined_colmapcams_vggtpcd_amglobal_relaxed_c0.0_p50000_random_farthestpose_sharedcam,24.1505,1.641828,50,combined | relaxed | vggtpcd,50.0
combined,75,42,0.0,75000,random,farthestpose,,,,,,,,,,0.0,,vggt,,,,,relaxed,MCMC,colmapcams,vggtpcd,Global Alignment,Shared Cam,,,,,sfm,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n75_s42_combined_colmapcams_vggtpcd_amglobal_relaxed_c0.0_p75000_random_farthestpose_sharedcam/eval_results.json,bicycle_4_n75_s42_combined_colmapcams_vggtpcd_amglobal_relaxed_c0.0_p75000_random_farthestpose_sharedcam,2.5877,0.181462,75,combined | relaxed | vggtpcd,75.0
combined,100,42,0.0,100000,random,farthestpose,,,,,,,,,,0.0,,vggt,,,,,relaxed,MCMC,colmapcams,vggtpcd,Global Alignment,Shared Cam,,,,,sfm,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n100_s42_combined_colmapcams_vggtpcd_amglobal_relaxed_c0.0_p100000_random_farthestpose_sharedcam/eval_results.json,bicycle_4_n100_s42_combined_colmapcams_vggtpcd_amglobal_relaxed_c0.0_p100000_random_farthestpose_sharedcam,0.1144,0.009765,100,combined | relaxed | vggtpcd,100.0
colmap,25,42,,2749,,farthestpose,25,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,relaxed,MCMC,,,,Shared Cam,,,,,gsplat,12.94597339630127,0.6813478469848633,0.19026687741279602,1000000,0.003643999807536602,1.4491997957229614,-0.16314491434016723,2749,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n25_s42_relaxed_farthestpose_sharedcam_i25_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n25_s42_relaxed_farthestpose_sharedcam_i25_gteval_poseopt_steps15000,1.795,0.003818,3,colmap | relaxed | ,25.0
colmap,50,42,,20697,,farthestpose,50,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,relaxed,MCMC,,,,Shared Cam,,,,,gsplat,13.240409851074219,0.6447802782058716,0.18874366581439972,1000000,0.3726469874382019,24.099098205566406,-0.13601058109616826,20697,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s42_relaxed_farthestpose_sharedcam_i50_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_relaxed_farthestpose_sharedcam_i50_gteval_poseopt_steps15000,24.1505,1.641828,50,colmap | relaxed | ,50.0
colmap,75,42,,48488,,farthestpose,75,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,relaxed,MCMC,,,,Shared Cam,,,,,gsplat,16.242740631103516,0.4087640941143036,0.24034526944160461,1000000,0.045879002660512924,2.6085000038146973,0.09545351596835996,48488,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n75_s42_relaxed_farthestpose_sharedcam_i75_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n75_s42_relaxed_farthestpose_sharedcam_i75_gteval_poseopt_steps15000,2.5877,0.181462,75,colmap | relaxed | ,75.0
colmap,100,42,,73606,,farthestpose,100,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,relaxed,MCMC,,,,Shared Cam,,,,,gsplat,21.770587921142578,0.2585306465625763,0.5156521201133728,1000000,0.002368000103160739,0.11229999363422394,0.45155591268365913,73606,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_relaxed_farthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_relaxed_farthestpose_sharedcam_i100_gteval_poseopt_steps15000,0.1144,0.009765,100,colmap | relaxed | ,100.0
vggt,25,42,0.0,25000,random,farthestpose,25,GT Eval,,,,Pose Opt,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,gsplat,15.881792068481445,0.4759385287761688,0.220622718334198,1000000,0.020386995747685432,1.0730998516082764,0.035769927300285276,25000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n25_s42_c0.0_p25000_random_farthestpose_i25_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n25_s42_c0.0_p25000_random_farthestpose_i25_gteval_poseopt_steps15000,1.0783,0.091856,25,vggt |  | ,25.0
vggt,50,42,0.0,50000,random,farthestpose,50,GT Eval,,,,Pose Opt,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,gsplat,16.94716453552246,0.3975410759449005,0.23904143273830414,1000000,0.018344001844525337,0.8300999402999878,0.11466371447641872,50000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s42_c0.0_p50000_random_farthestpose_i50_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_c0.0_p50000_random_farthestpose_i50_gteval_poseopt_steps15000,0.9199,0.086453,50,vggt |  | ,50.0
vggt,75,42,0.0,75000,random,farthestpose,75,GT Eval,,,,Pose Opt,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,gsplat,17.115909576416016,0.3660789132118225,0.2534460425376892,1000000,0.016419000923633575,0.7570000290870667,0.1456334591686455,75000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n75_s42_c0.0_p75000_random_farthestpose_i75_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n75_s42_c0.0_p75000_random_farthestpose_i75_gteval_poseopt_steps15000,0.8919,0.075478,75,vggt |  | ,75.0
vggt,100,42,0.0,100000,random,farthestpose,100,GT Eval,,,,Pose Opt,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,gsplat,17.32100486755371,0.3508612811565399,0.2641439735889435,1000000,0.014141999185085297,0.7271000742912292,0.16508122017973817,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_steps15000,0.857,0.067143,100,vggt |  | ,100.0
