method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,depth_conf_shifted,loss_multiplier,pose_loss_multiplier,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,series_label_override,dataset_collection,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,alignment_scale,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_images_jitter
colmap,10,42,,168,,,,,0,10,farthestpose,10,GT Eval,,,,,,,,,0.0,,False,1.0,1.0,colmap,garden,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,12.088115692138672,0.8129224181175232,0.3121573328971863,179055,0.002008326118811965,0.1553097516298294,,,-0.18896907107097283,0.5680378954004044,168,/home/ojab2/work/git/gsplat/results/colmap_outputs/garden_2_n10_s42_default_farthestpose_sharedcam_i10_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/garden_2_n10_s42_default_farthestpose_sharedcam_i10_gteval_steps15000/stats/val_step14999.json,garden_2_n10_s42_default_farthestpose_sharedcam_i10_gteval_steps15000,0.1553,0.00235,3,0.322542,,,,/home/ojab2/work/git/vggt/colmap_outputs/garden_2_n10_s42_default_farthestpose_sharedcam/eval_results.json,garden_2_n10_s42_default_farthestpose_sharedcam,garden_2_n10_s42_default_farthestpose_sharedcam_i10_gteval_steps15000_val_step14999.json,168,colmap | ,10.0
colmap,50,42,,30521,,,,,0,10,farthestpose,50,GT Eval,,,,,,,,,0.0,,False,1.0,1.0,colmap,garden,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,21.612417221069336,0.3072568476200104,0.4805939197540283,1000000,0.0007700041169300675,0.05931065231561661,,,0.39804705220278863,0.3449512443781033,30521,/home/ojab2/work/git/gsplat/results/colmap_outputs/garden_2_n50_s42_default_farthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/garden_2_n50_s42_default_farthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,garden_2_n50_s42_default_farthestpose_sharedcam_i50_gteval_steps15000,0.0593,0.003296,50,1.098532,,,,/home/ojab2/work/git/vggt/colmap_outputs/garden_2_n50_s42_default_farthestpose_sharedcam/eval_results.json,garden_2_n50_s42_default_farthestpose_sharedcam,garden_2_n50_s42_default_farthestpose_sharedcam_i50_gteval_steps15000_val_step14999.json,30521,colmap | ,50.0
colmap,60,42,,4099,,,,,0,10,farthestpose,60,GT Eval,,,,,,,,,0.0,,False,1.0,1.0,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,17.236000061035156,0.5451602935791016,0.3305085003376007,1000000,0.0031893858686089516,0.12974558770656586,,,0.08237905987212224,0.46076073535608586,4099,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n60_s42_default_farthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n60_s42_default_farthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,bicycle_4_n60_s42_default_farthestpose_sharedcam_i60_gteval_steps15000,0.1219,0.009703,35,0.838502,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n60_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n60_s42_default_farthestpose_sharedcam,bicycle_4_n60_s42_default_farthestpose_sharedcam_i60_gteval_steps15000_val_step14999.json,4099,colmap | ,60.0
colmap,60,42,,7229,,,,,0,10,farthestpose,60,GT Eval,,,,,,,,,0.0,,False,1.0,1.0,colmap,stump,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,22.32096290588379,0.45566052198410034,0.5940389633178711,1000000,0.0016194164054468274,0.04592454433441162,,,0.3859031929297444,0.36622377386759847,7229,/home/ojab2/work/git/gsplat/results/colmap_outputs/stump_2_n60_s42_default_farthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/stump_2_n60_s42_default_farthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,stump_2_n60_s42_default_farthestpose_sharedcam_i60_gteval_steps15000,0.0459,0.006411,60,1.062092,,,,/home/ojab2/work/git/vggt/colmap_outputs/stump_2_n60_s42_default_farthestpose_sharedcam/eval_results.json,stump_2_n60_s42_default_farthestpose_sharedcam,stump_2_n60_s42_default_farthestpose_sharedcam_i60_gteval_steps15000_val_step14999.json,7229,colmap | ,60.0
colmap,60,42,,39303,,,,,0,10,farthestpose,60,GT Eval,,,,,,,,,0.0,,False,1.0,1.0,colmap,garden,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,21.491430282592773,0.2942298352718353,0.4748828113079071,1000000,0.0007794856210239232,0.06104569882154465,,,0.4005080894884775,0.3419909923759086,39303,/home/ojab2/work/git/gsplat/results/colmap_outputs/garden_2_n60_s42_default_farthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/garden_2_n60_s42_default_farthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,garden_2_n60_s42_default_farthestpose_sharedcam_i60_gteval_steps15000,0.061,0.003353,60,1.088692,,,,/home/ojab2/work/git/vggt/colmap_outputs/garden_2_n60_s42_default_farthestpose_sharedcam/eval_results.json,garden_2_n60_s42_default_farthestpose_sharedcam,garden_2_n60_s42_default_farthestpose_sharedcam_i60_gteval_steps15000_val_step14999.json,39303,colmap | ,60.0
colmap,70,42,,5493,,,,,0,10,farthestpose,70,GT Eval,,,,,,,,,0.0,,False,1.0,1.0,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,17.67551040649414,0.5228040814399719,0.34432029724121094,1000000,0.002762554446235299,0.13516424596309662,,,0.11239534550630255,0.44987435568781203,5493,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n70_s42_default_farthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n70_s42_default_farthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,bicycle_4_n70_s42_default_farthestpose_sharedcam_i70_gteval_steps15000,0.1045,0.008959,40,0.870047,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n70_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n70_s42_default_farthestpose_sharedcam,bicycle_4_n70_s42_default_farthestpose_sharedcam_i70_gteval_steps15000_val_step14999.json,5493,colmap | ,70.0
colmap,70,42,,10214,,,,,0,10,farthestpose,70,GT Eval,,,,,,,,,0.0,,False,1.0,1.0,colmap,stump,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,23.635705947875977,0.401500940322876,0.6541711688041687,1000000,0.0010542725212872028,0.04453441500663757,,,0.47884715927971727,0.33130082938018235,10214,/home/ojab2/work/git/gsplat/results/colmap_outputs/stump_2_n70_s42_default_farthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/stump_2_n70_s42_default_farthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,stump_2_n70_s42_default_farthestpose_sharedcam_i70_gteval_steps15000,0.0445,0.004186,70,1.015412,,,,/home/ojab2/work/git/vggt/colmap_outputs/stump_2_n70_s42_default_farthestpose_sharedcam/eval_results.json,stump_2_n70_s42_default_farthestpose_sharedcam,stump_2_n70_s42_default_farthestpose_sharedcam_i70_gteval_steps15000_val_step14999.json,10214,colmap | ,70.0
colmap,70,42,,47748,,,,,0,10,farthestpose,70,GT Eval,,,,,,,,,0.0,,False,1.0,1.0,colmap,garden,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,21.828954696655273,0.2892979085445404,0.4910716712474823,1000000,0.0007039435440674424,0.05747002735733986,,,0.4192701103704327,0.3364176896653753,47748,/home/ojab2/work/git/gsplat/results/colmap_outputs/garden_2_n70_s42_default_farthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/garden_2_n70_s42_default_farthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,garden_2_n70_s42_default_farthestpose_sharedcam_i70_gteval_steps15000,0.0575,0.003012,70,1.084439,,,,/home/ojab2/work/git/vggt/colmap_outputs/garden_2_n70_s42_default_farthestpose_sharedcam/eval_results.json,garden_2_n70_s42_default_farthestpose_sharedcam,garden_2_n70_s42_default_farthestpose_sharedcam_i70_gteval_steps15000_val_step14999.json,47748,colmap | ,70.0
colmap,80,42,,7178,,,,,0,10,farthestpose,80,GT Eval,,,,,,,,,0.0,,False,1.0,1.0,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,17.76422882080078,0.4812810719013214,0.3296169936656952,1000000,0.0018538631265982985,0.14882302284240723,,,0.13107134333053452,0.4389278004763071,7178,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n80_s42_default_farthestpose_sharedcam_i80_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n80_s42_default_farthestpose_sharedcam_i80_gteval_steps15000/stats/val_step14999.json,bicycle_4_n80_s42_default_farthestpose_sharedcam_i80_gteval_steps15000,0.1595,0.005965,48,0.872644,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n80_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n80_s42_default_farthestpose_sharedcam,bicycle_4_n80_s42_default_farthestpose_sharedcam_i80_gteval_steps15000_val_step14999.json,7178,colmap | ,80.0
colmap,80,42,,12544,,,,,0,10,farthestpose,80,GT Eval,,,,,,,,,0.0,,False,1.0,1.0,colmap,stump,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,24.567461013793945,0.3754517138004303,0.6963680386543274,1000000,0.0006820500129833817,0.02805793657898903,,,0.5368581842570587,0.30999108452863927,12544,/home/ojab2/work/git/gsplat/results/colmap_outputs/stump_2_n80_s42_default_farthestpose_sharedcam_i80_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/stump_2_n80_s42_default_farthestpose_sharedcam_i80_gteval_steps15000/stats/val_step14999.json,stump_2_n80_s42_default_farthestpose_sharedcam_i80_gteval_steps15000,0.0281,0.002677,80,1.035796,,,,/home/ojab2/work/git/vggt/colmap_outputs/stump_2_n80_s42_default_farthestpose_sharedcam/eval_results.json,stump_2_n80_s42_default_farthestpose_sharedcam,stump_2_n80_s42_default_farthestpose_sharedcam_i80_gteval_steps15000_val_step14999.json,12544,colmap | ,80.0
colmap,80,42,,55680,,,,,0,10,farthestpose,80,GT Eval,,,,,,,,,0.0,,False,1.0,1.0,colmap,garden,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,21.89204978942871,0.2789727747440338,0.4924449622631073,1000000,0.0006563903298228979,0.06024349853396416,,,0.4276151715585983,0.33262337251300267,55680,/home/ojab2/work/git/gsplat/results/colmap_outputs/garden_2_n80_s42_default_farthestpose_sharedcam_i80_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/garden_2_n80_s42_default_farthestpose_sharedcam_i80_gteval_steps15000/stats/val_step14999.json,garden_2_n80_s42_default_farthestpose_sharedcam_i80_gteval_steps15000,0.0602,0.002796,80,1.0611,,,,/home/ojab2/work/git/vggt/colmap_outputs/garden_2_n80_s42_default_farthestpose_sharedcam/eval_results.json,garden_2_n80_s42_default_farthestpose_sharedcam,garden_2_n80_s42_default_farthestpose_sharedcam_i80_gteval_steps15000_val_step14999.json,55680,colmap | ,80.0
colmap,90,42,,13508,,,,,0,10,farthestpose,90,GT Eval,,,,,,,,,0.0,,False,1.0,1.0,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,20.889169692993164,0.395292729139328,0.447834849357605,1000000,0.0020110192708671093,0.11796092987060547,,,0.31115309161129834,0.38217316296584936,13508,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n90_s42_default_farthestpose_sharedcam_i90_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n90_s42_default_farthestpose_sharedcam_i90_gteval_steps15000/stats/val_step14999.json,bicycle_4_n90_s42_default_farthestpose_sharedcam_i90_gteval_steps15000,0.1166,0.008212,90,1.09113,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n90_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n90_s42_default_farthestpose_sharedcam,bicycle_4_n90_s42_default_farthestpose_sharedcam_i90_gteval_steps15000_val_step14999.json,13508,colmap | ,90.0
colmap,90,42,,15121,,,,,0,10,farthestpose,90,GT Eval,,,,,,,,,0.0,,False,1.0,1.0,colmap,stump,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,24.89565658569336,0.3640785217285156,0.7062732577323914,1000000,0.0006323872948996723,0.02323235385119915,,,0.5557488947428999,0.3030944415037845,15121,/home/ojab2/work/git/gsplat/results/colmap_outputs/stump_2_n90_s42_default_farthestpose_sharedcam_i90_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/stump_2_n90_s42_default_farthestpose_sharedcam_i90_gteval_steps15000/stats/val_step14999.json,stump_2_n90_s42_default_farthestpose_sharedcam_i90_gteval_steps15000,0.0232,0.002449,90,1.025126,,,,/home/ojab2/work/git/vggt/colmap_outputs/stump_2_n90_s42_default_farthestpose_sharedcam/eval_results.json,stump_2_n90_s42_default_farthestpose_sharedcam,stump_2_n90_s42_default_farthestpose_sharedcam_i90_gteval_steps15000_val_step14999.json,15121,colmap | ,90.0
